Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Date,,,,,
8/9/20,391.120453,399.737091,385.830719,395.305237,9451065592
8/10/20,395.887573,399.375946,391.041504,391.041504,1.17E+10
8/11/20,380.384064,398.478912,370.860626,395.894714,1.28E+10
8/12/20,391.02417,391.312317,367.923615,380.063812,1.24E+10
8/13/20,428.741791,432.904602,379.710876,390.838104,1.85E+10
8/14/20,437.397827,444.577759,423.345856,428.677277,1.51E+10
8/15/20,433.354919,441.754608,429.874603,437.562988,1.24E+10
8/16/20,433.786621,436.265839,415.086243,433.350586,1.22E+10
8/17/20,429.53125,442.734985,422.647278,433.973755,1.32E+10
8/18/20,423.669312,432.580292,419.674103,429.669617,1.20E+10
8/19/20,406.463776,427.024658,396.678345,423.738586,1.31E+10
8/20/20,416.439789,418.734436,404.026093,406.758911,1.00E+10
8/21/20,389.126343,418.63797,387.441132,416.148773,1.18E+10
8/22/20,395.835144,396.466583,382.814636,389.031097,1.01E+10
8/23/20,391.384491,396.490417,385.039795,395.562836,8137303970
8/24/20,408.144196,409.38858,389.314606,391.678986,1.03E+10
8/25/20,384.001038,408.527924,374.355377,408.071686,1.24E+10
8/26/20,386.466125,391.87326,378.705841,383.977448,9967343483
8/27/20,382.632629,395.349182,374.866486,386.609863,1.05E+10
8/28/20,395.874664,397.757629,381.273834,382.629578,9120674421
8/29/20,399.921478,405.616364,393.037415,395.687592,8777703481
8/30/20,428.395721,428.663971,399.608368,399.616699,1.12E+10
8/31/20,435.079742,438.560333,419.770172,428.509003,1.28E+10
9/1/20,477.05191,487.211884,432.079193,434.874451,1.89E+10
9/2/20,440.040497,480.330994,424.460022,477.007874,1.97E+10
9/3/20,385.671936,449.532471,381.1297,440.23999,1.96E+10
9/4/20,388.24115,402.411743,371.636688,384.671631,1.67E+10
9/5/20,335.260071,394.172272,316.774353,388.038391,2.99E+10
9/6/20,353.362274,359.764038,319.041901,335.334564,2.76E+10
9/7/20,352.673492,358.211884,326.254364,353.450256,2.18E+10
9/8/20,337.602112,355.562866,328.816772,353.202271,1.80E+10
9/9/20,351.110016,359.16449,332.165009,337.824921,1.45E+10
9/10/20,368.101898,377.393585,351.111755,351.429321,3.14E+10
9/11/20,374.695587,376.630402,355.582581,368.1185,2.73E+10
9/12/20,387.183105,387.538452,367.842194,374.595398,1.33E+10
9/13/20,365.570007,388.959808,354.340179,387.519287,1.50E+10
9/14/20,377.26886,384.485199,357.569763,365.699585,1.75E+10
9/15/20,364.839203,381.508301,363.606812,377.154022,1.61E+10
9/16/20,365.812286,372.767426,356.682739,364.743988,1.61E+10
9/17/20,389.019226,393.901611,364.795135,365.865784,1.99E+10
9/18/20,384.364532,391.904144,376.964996,389.337494,1.41E+10
9/19/20,385.544373,387.076355,378.72406,384.041656,1.11E+10
9/20/20,371.052826,385.597992,367.09436,385.597992,1.23E+10
9/21/20,341.786072,375.73703,336.06897,371.400146,1.74E+10
9/22/20,344.503174,346.60083,336.855042,341.723816,1.27E+10
9/23/20,321.116302,344.671387,318.969208,344.589905,1.29E+10
9/24/20,349.355591,351.461487,318.545105,320.985016,1.57E+10
9/25/20,352.183258,357.772736,339.01593,349.411438,1.44E+10
9/26/20,355.488098,355.854767,348.107117,352.350891,1.30E+10
9/27/20,357.438507,361.984406,349.834076,354.9599,1.36E+10
