Price,Close,High,Low,Open,Volume
Ticker,VWS.CO,VWS.CO,VWS.CO,VWS.CO,VWS.CO
Date,,,,,
2000-05-10,51.85980987548828,53.46372082027001,50.968747861817114,53.46372082027001,1884355
2000-05-11,51.681602478027344,51.911495986175304,49.89947825464709,51.911495986175304,993005
2000-05-12,52.92909622192383,55.24585659024899,51.68160777797486,52.5726699810434,1414640
2000-05-15,55.06763458251953,55.24584767419818,52.929087679771705,54.35478561493692,1361950
2000-05-16,56.49333953857422,57.38440165496099,51.681602750432766,55.245851215979854,968710
2000-05-17,55.424068450927734,58.453677833019704,55.24585533453821,57.91904188298361,1449785
2000-05-18,56.13691711425781,57.740831751113994,54.53300587653408,55.424068052950865,1483825
2000-05-19,56.13691711425781,56.13691711425781,56.13691711425781,56.13691711425781,0
2000-05-22,58.81009292602539,58.81009292602539,53.463720841841265,54.35478285587195,2897710
2000-05-23,58.63189697265625,59.7011689205845,58.27547072392508,59.7011689205845,2637595
2000-05-24,56.84976577758789,58.81010323180797,55.245854551092336,58.81010323180797,1880495
2000-05-25,55.60227584838867,58.810098016932116,54.88942345615046,58.63188831800469,1778115
2000-05-26,54.35478591918945,57.7408244826413,53.82015004029286,55.60227416879087,3105195
2000-05-29,53.46372985839844,57.027978515625,53.10730363302282,57.027978515625,1016405
2000-05-30,52.216243743896484,55.24585659419913,51.85982090212311,52.750883105255355,1802830
2000-05-31,52.216243743896484,53.463732187934646,50.79054557853791,52.216243743896484,2788765
2000-06-01,52.216243743896484,52.216243743896484,52.216243743896484,52.216243743896484,0
2000-06-02,53.46372985839844,53.46372985839844,51.50339241709735,51.68160552978516,2440815
2000-06-05,53.46372985839844,53.46372985839844,53.46372985839844,53.46372985839844,0
2000-06-06,54.35478591918945,54.711212104541865,52.948690770403154,53.107297669588036,3011675
2000-06-07,54.176578521728516,54.91616174438592,53.46372947521874,54.88942756823829,5253815
2000-06-08,53.285518646240234,54.35479396137243,51.68160737310821,54.35479396137243,1124230
2000-06-09,51.14696502685547,53.46372508766825,49.186627760481215,53.46372508766825,17127540
2000-06-12,51.14696502685547,51.14696502685547,51.14696502685547,51.14696502685547,0
2000-06-13,48.83020782470703,53.4637319392703,48.83020782470703,51.681607541294625,6196145
2000-06-14,48.473785400390625,49.899483571347524,46.69166098712821,49.00842136471632,5294340
2000-06-15,50.25590133666992,53.260560659908016,47.76092485964007,49.008413098154996,4514415
2000-06-16,52.92909622192383,53.285519063671714,48.29557208614095,50.4341193340259,5029675
2000-06-19,52.92909622192383,52.92909622192383,52.92909622192383,52.92909622192383,0
2000-06-20,52.572669982910156,52.572669982910156,50.61233245626327,51.50339465936344,3964230
2000-06-21,52.594051361083984,53.28551646714905,52.216241195744466,52.57266741925679,2261220
2000-06-22,52.44613265991211,53.19640607730725,52.2162357641726,53.10729783113208,1317605
2000-06-23,50.79054260253906,52.57266690438254,49.89948045161732,51.681604753460796,1473445
2000-06-26,49.72126770019531,52.39445417223949,49.00841865414334,49.8994808114914,1371965
2000-06-27,49.72126770019531,50.28085666571708,48.83020554284725,50.25590703408358,1416780
2000-06-28,50.07769775390625,50.43412060463364,49.18663552838881,49.89948462897623,926795
2000-06-29,49.89948272705078,50.842225329220774,49.1866336536337,49.89948272705078,2303370
2000-06-30,51.14696502685547,51.68160091807931,49.72126365170506,49.72126365170506,1196195
2000-07-03,52.038028717041016,52.57266462475856,50.61232729790723,51.325176307908016,542975
